-5.235905016523496869e+01,-5.273405843918092017e+01,-5.310905843918092017e+01,-5.348405843918092017e+01,-5.385905843918092017e+01
-5.224794732806980591e+01,-5.262294732806980591e+01,-5.299794732806980591e+01,-5.337294732806980591e+01,-5.374794732806980591e+01
-5.213683621695869164e+01,-5.251183621695869164e+01,-5.288683621695869164e+01,-5.326183621695869164e+01,-5.363683621695869164e+01
-5.202572510584758447e+01,-5.240072510584758447e+01,-5.277572510584758447e+01,-5.315072510584758447e+01,-5.352572510584758447e+01
-5.191461399473647020e+01,-5.228961399473647020e+01,-5.266461399473647020e+01,-5.303961399473647020e+01,-5.341461399473647020e+01
-5.186741644353987368e+01,-5.224241644353987368e+01,-5.261741644353987368e+01,-5.299241644353987368e+01,-5.336741644353987368e+01
-5.197852755465098795e+01,-5.235352755465098795e+01,-5.272852755465098795e+01,-5.310352755465098795e+01,-5.347852755465098795e+01
-5.208963866576209512e+01,-5.246463866576209512e+01,-5.283963866576209512e+01,-5.321463866576209512e+01,-5.358963866576209512e+01
-5.220074977687320938e+01,-5.257574977687320938e+01,-5.284075796807969994e+01,-5.321575796807969994e+01,-5.359075796807969994e+01
-5.220186907919080710e+01,-5.257686907919080710e+01,-5.295186907919080710e+01,-5.332686907919080710e+01,-5.370186907919080710e+01
